[AlexCraft1157845][Thu Oct 13 16:07:52 2022]: XD

[AlexCraft1157845][Thu Oct 13 16:08:08 2022]: XDDDDDDDDDDD

[AlexCraft1157845][Thu Oct 13 16:08:48 2022]: NI NI NIGA

[WulfeXO         ][Fri Oct 14 15:42:26 2022]: do you see the car lift?

[j4c0b_04        ][Fri Oct 14 15:42:30 2022]: yws

[Lukeisba        ][Fri Oct 14 15:42:32 2022]: *******S

[j4c0b_04        ][Fri Oct 14 15:42:34 2022]: yes

[Polskie_FBI     ][Fri Oct 14 15:42:38 2022]: nice bmw

[Lukeisba        ][Fri Oct 14 15:42:39 2022]: ASS

[Lukeisba        ][Fri Oct 14 15:42:42 2022]: *****ES

[Lukeisba        ][Fri Oct 14 15:42:46 2022]: YOU ALL SUCK*****

[MeLovePink_     ][Fri Oct 14 15:42:46 2022]: L

[j4c0b_04        ][Fri Oct 14 15:42:53 2022]: luke rlly wants to get kicked

[Lukeisba        ][Fri Oct 14 15:42:56 2022]: LOL GET ****ED

[Lukeisba        ][Fri Oct 14 15:42:59 2022]: KICK ME YES PLS

[LegendaryArska  ][Fri Oct 14 15:42:59 2022]: ty

[Lukeisba        ][Fri Oct 14 15:43:02 2022]: **** YOU

[Lukeisba        ][Fri Oct 14 15:43:05 2022]: IDIOTS

[j4c0b_04        ][Fri Oct 14 15:43:06 2022]: dummie just click dissconect

[Lukeisba        ][Fri Oct 14 15:43:15 2022]: IM LAGGED IN LOADING SCREEN YOU *****

[CandiceBright   ][Fri Oct 14 15:43:21 2022]: how you even

[j4c0b_04        ][Fri Oct 14 15:43:22 2022]: ah 

[Lukeisba        ][Fri Oct 14 15:43:22 2022]: *******S

[LegendaryArska  ][Fri Oct 14 15:43:22 2022]: then alt+f4

[LegendaryArska  ][Fri Oct 14 15:43:25 2022]: ez

[j4c0b_04        ][Fri Oct 14 15:43:36 2022]: wtff

[EmilioPenguin   ][Fri Oct 14 15:43:39 2022]: gotta go slower i think

[CandiceBright   ][Fri Oct 14 15:43:44 2022]: how do you fly like that

[EmilioPenguin   ][Fri Oct 14 15:43:44 2022]: they messed it up lol

[WulfeXO         ][Fri Oct 14 15:43:45 2022]: hah xD

[CandiceBright   ][Fri Oct 14 15:43:49 2022]: super handbrake?

[WulfeXO         ][Fri Oct 14 15:43:50 2022]: levitation

[GravyXO         ][Fri Oct 14 15:43:53 2022]: nice

[LegendaryArska  ][Fri Oct 14 15:43:57 2022]: ups..

[CandiceBright   ][Fri Oct 14 15:43:59 2022]: man amazing

[Polskie_FBI     ][Fri Oct 14 15:44:00 2022]: happens

[GravyXO         ][Fri Oct 14 15:44:06 2022]: hahaha yes

[j4c0b_04        ][Fri Oct 14 15:44:11 2022]: ah shi

[j4c0b_04        ][Fri Oct 14 15:44:32 2022]: paul walkerskyline

[LegendaryArska  ][Fri Oct 14 15:44:38 2022]: sryy

[Polskie_FBI     ][Fri Oct 14 15:44:39 2022]: i love skylinbe

[Polskie_FBI     ][Fri Oct 14 15:44:41 2022]: skyline

[Polskie_FBI     ][Fri Oct 14 15:44:43 2022]: np

[LegendaryArska  ][Fri Oct 14 15:44:47 2022]: skyline hits diff

[j4c0b_04        ][Fri Oct 14 15:44:52 2022]: fr

[DavidLesnik2006 ][Fri Oct 14 15:52:11 2022]: geh

[lewdKamakazie   ][Fri Oct 14 15:52:44 2022]: hp[ oimn

[Quando-IlIl     ][Fri Oct 14 15:52:46 2022]: ahhh

[Quando-IlIl     ][Fri Oct 14 15:53:18 2022]: uber isnt going to pay me now 

[lewdKamakazie   ][Fri Oct 14 15:54:44 2022]: wya at quna

[Quando-IlIl     ][Fri Oct 14 15:55:11 2022]: t

[Quando-IlIl     ][Fri Oct 14 15:55:58 2022]: im asking myself the same question lol 

[lewdKamakazie   ][Fri Oct 14 15:56:37 2022]: who wants to be gifted vechils

[lewdKamakazie   ][Fri Oct 14 15:56:44 2022]: wuan what u want

[Quando-IlIl     ][Fri Oct 14 15:57:26 2022]: im okay with money thaks 

[Quando-IlIl     ][Fri Oct 14 15:57:35 2022]: i;ve got 1.7b

[lewdKamakazie   ][Fri Oct 14 15:57:42 2022]: quan can u gimme money pls

[lewdKamakazie   ][Fri Oct 14 15:57:47 2022]: idk how to do the money stuff

[Quando-IlIl     ][Fri Oct 14 15:58:18 2022]: my acct isnt modded 

[lewdKamakazie   ][Fri Oct 14 15:58:23 2022]: how to get money

[Quando-IlIl     ][Fri Oct 14 15:58:34 2022]: it's been recovred 

[lewdKamakazie   ][Fri Oct 14 15:58:41 2022]: how to do that

[Sleqzy_         ][Fri Oct 14 15:59:26 2022]: money plz

[Quando-IlIl     ][Fri Oct 14 15:59:27 2022]: get someone that has mods to log into your acct so they can give you moey ig

[lewdKamakazie   ][Fri Oct 14 15:59:32 2022]: thats susw

[lewdKamakazie   ][Fri Oct 14 15:59:40 2022]:  i need money my account got hacked

[lewdKamakazie   ][Fri Oct 14 15:59:45 2022]: thats why im using odest

[Slippery-Sushi  ][Fri Oct 14 15:59:49 2022]: IG GOT RECOVERY 

[Quando-IlIl     ][Fri Oct 14 15:59:50 2022]: i dont really know how to do it ngl 

[lewdKamakazie   ][Fri Oct 14 16:00:01 2022]: slippery will u doit

[Slippery-Sushi  ][Fri Oct 14 16:00:19 2022]: u want300 mill

[Quando-IlIl     ][Fri Oct 14 16:00:20 2022]: i just got my mate to do it then bam i got a **** ton of money 

[Quando-IlIl     ][Fri Oct 14 16:00:44 2022]: bro 

[Slippery-Sushi  ][Fri Oct 14 16:00:48 2022]: yeaah i can do level and money

[Quando-IlIl     ][Fri Oct 14 16:00:51 2022]: STOP

[lewdKamakazie   ][Fri Oct 14 16:00:53 2022]: for free

[Slippery-Sushi  ][Fri Oct 14 16:01:01 2022]: unlocks ect

[Quando-IlIl     ][Fri Oct 14 16:01:16 2022]: you already habe mods 

[lewdKamakazie   ][Fri Oct 14 16:01:20 2022]: me?

[Quando-IlIl     ][Fri Oct 14 16:01:24 2022]: jsut give yourself money 

[lewdKamakazie   ][Fri Oct 14 16:01:26 2022]: but they doint give me money

[lewdKamakazie   ][Fri Oct 14 16:01:29 2022]: i cant with kikdddions

[Slippery-Sushi  ][Fri Oct 14 16:01:37 2022]: bc its free 

[TheDevil6996    ][Fri Oct 14 16:01:42 2022]: dont shoot out of black jenny

[lewdKamakazie   ][Fri Oct 14 16:01:57 2022]: pls someone give me moeny

[lewdKamakazie   ][Fri Oct 14 16:03:06 2022]: i need money

[Quando-IlIl     ][Fri Oct 14 16:03:29 2022]: do something cool 

[Quando-IlIl     ][Fri Oct 14 16:03:32 2022]: ok

[Quando-IlIl     ][Fri Oct 14 16:03:55 2022]: if i jump,,,,,,,,,,,,,,,,,,,,,,,,,

[Quando-IlIl     ][Fri Oct 14 16:06:50 2022]: this aint right lol

[KankerModz      ][Fri Oct 14 16:07:42 2022]: no crash mr kamakazie :(

[lewdKamakazie   ][Fri Oct 14 16:08:13 2022]: ?

[lewdKamakazie   ][Fri Oct 14 16:08:32 2022]: quando friend me

[lewdKamakazie   ][Fri Oct 14 16:09:10 2022]: my b

[Quando-IlIl     ][Fri Oct 14 16:09:58 2022]: no u 

[lewdKamakazie   ][Fri Oct 14 16:11:22 2022]: stop

[KankerModz      ][Fri Oct 14 16:11:39 2022]: why u cheat huh

[lewdKamakazie   ][Fri Oct 14 16:11:53 2022]: lets drive

[lewdKamakazie   ][Fri Oct 14 16:12:26 2022]: kanker ur legit cheatring to xd

[KankerModz      ][Fri Oct 14 16:12:31 2022]: isntme

[lewdKamakazie   ][Fri Oct 14 16:12:39 2022]: um why is the map on top pf us

[lewdKamakazie   ][Fri Oct 14 16:12:41 2022]: look up

[lewdKamakazie   ][Fri Oct 14 16:12:44 2022]: guys loolk up

[lewdKamakazie   ][Fri Oct 14 16:12:56 2022]: can ayone elese see this

[lewdKamakazie   ][Fri Oct 14 16:13:41 2022]: my bad

[HeavyWardrobe   ][Fri Oct 14 16:16:44 2022]: fook not a deluxee

[HeavyWardrobe   ][Fri Oct 14 16:17:39 2022]: hholy ****t thhe world has folded

[MangoEarl       ][Fri Oct 14 16:17:51 2022]: is this an event?

[HeavyWardrobe   ][Fri Oct 14 16:18:02 2022]: nah this a modder

[MangoEarl       ][Fri Oct 14 16:18:09 2022]: looks mad tho

[MangoEarl       ][Fri Oct 14 16:18:12 2022]: ngl

[HeavyWardrobe   ][Fri Oct 14 16:18:44 2022]: mans rage quit

[FrankOnTheseNuts][Fri Oct 14 16:21:03 2022]: ?

[FrankOnTheseNuts][Fri Oct 14 16:21:19 2022]: lachie you good?

[FrankOnTheseNuts][Fri Oct 14 16:21:39 2022]: lmao mans tpd to me then left

[FrankOnTheseNuts][Fri Oct 14 16:23:39 2022]: yo kanker....

[KankerModz      ][Fri Oct 14 16:23:46 2022]: o hi

[FrankOnTheseNuts][Fri Oct 14 16:23:59 2022]: do you actually mod?

[KankerModz      ][Fri Oct 14 16:24:04 2022]: oidkkkk

[FrankOnTheseNuts][Fri Oct 14 16:24:10 2022]: or just a name

[FrankOnTheseNuts][Fri Oct 14 16:24:50 2022]: aight bet

[Sligg3r         ][Fri Oct 14 16:25:44 2022]: bro took it personally

[Sligg3r         ][Fri Oct 14 16:26:05 2022]: get your fatasses off me

[ochioch         ][Fri Oct 14 16:26:17 2022]: easy

[ochioch         ][Fri Oct 14 16:26:21 2022]: just run boy

[Sandai233       ][Fri Oct 14 16:26:46 2022]: I wanna put my fatdick inside you

[Xx_PrOGaMeR10_xX][Fri Oct 14 17:03:46 2022]: ....

[DarrreBarrre69  ][Fri Oct 14 17:04:05 2022]: ...

